NO,기존주소,도로명주소
1,서울특별시 중랑구 신내동 650,서울특별시 중랑구 신내로19길 42
2,서울특별시 성북구 하월곡동 225,서울특별시 성북구 오패산로 90
3,서울특별시 노원구 공릉동 760,서울특별시 노원구 노원로1길 95
4,서울특별시 서대문구 홍은동 454,서울특별시 서대문구 포방터10길 33
5,서울특별시 강남구 개포동 12,서울특별시 강남구 개포로109길 21
6,서울특별시 관악구 봉천동 685-103,서울특별시 관악구 당곡2길 109-11
7,서울특별시 구로구 오류동 339,서울특별시 구로구 경인로 248-13
8,서울특별시 영등포구 신길동 4950,서울특별시 영등포구 신풍로 77
9,서울특별시 동작구 상도동 903,서울특별시 동작구 만양로 6
10,서울특별시 서초구 잠원동 Jan-71,서울특별시 서초구 잠원로 85
11,서울특별시 강남구 역삼동 757,서울특별시 강남구 선릉로69길 19
12,서울특별시 동작구 흑석동 336,서울특별시 동작구 흑석한강로 27
13,서울특별시 금천구 독산동 989,서울특별시 금천구 독산로85길 36
14,서울특별시 강남구 대치동 1027,서울특별시 강남구 삼성로51길 37
15,서울특별시 서초구 잠원동 159,서울특별시 서초구 잠원로 117
16,서울특별시 동작구 사당동 1159,서울특별시 동작구 사당로23길 112
17,서울특별시 동작구 사당동 1137,서울특별시 동작구 동작대로29길 118
18,서울특별시 동작구 흑석동 339,서울특별시 동작구 서달로 91
19,서울특별시 송파구 잠실동 22,서울특별시 송파구 올림픽로 135
20,서울특별시 송파구 신천동 17,서울특별시 송파구 올림픽로 435
21,서울특별시 동작구 흑석동 336,서울특별시 동작구 흑석한강로 27
22,서울특별시 강남구 청담동 60,서울특별시 강남구 도산대로96길 39
23,서울특별시 영등포구 도림동 821,서울특별시 영등포구 도영로 66
24,서울특별시 금천구 시흥동 1026,서울특별시 금천구 시흥대로 165
25,서울특별시 영등포구 신길동 4780,서울특별시 영등포구 여의대방로 25
26,서울특별시 영등포구 신길동 4780,서울특별시 영등포구 여의대방로 25
27,서울특별시 강남구 청담동 60,서울특별시 강남구 도산대로96길 39
28,서울특별시 금천구 시흥동 1011,서울특별시 금천구 금하로 750
29,서울특별시 강남구 도곡동 952,서울특별시 강남구 강남대로 256
30,서울특별시 영등포구 당산동5가 42,서울특별시 영등포구 당산로 214
31,서울특별시 관악구 봉천동 1712,서울특별시 관악구 성현로 80
32,서울특별시 구로구 항동 242,서울특별시 구로구 항동로 43
33,서울특별시 동작구 본동 481,서울특별시 동작구 매봉로 134
34,서울특별시 서초구 서초동 1757,서울특별시 서초구 효령로 391
35,서울특별시 금천구 시흥동 1026,서울특별시 금천구 시흥대로 165
36,서울특별시 금천구 시흥동 384-12,서울특별시 금천구 독산로10길 96
37,서울특별시 금천구 시흥동 1026,서울특별시 금천구 시흥대로 165
38,서울특별시 영등포구 영등포동 647,서울특별시 영등포구 도신로29길 28
39,서울특별시 영등포구 영등포동 647,서울특별시 영등포구 도신로29길 28
40,서울특별시 송파구 잠실동 19,서울특별시 송파구 올림픽로 99
41,서울특별시 중구 인현동2가 192-30,서울특별시 중구 마른내로 72
42,서울특별시 종로구 숭인동 296-19,서울특별시 종로구 종로58가길 27
43,서울특별시 성북구 장위동 320,서울특별시 성북구 한천로 713
44,서울특별시 도봉구 쌍문동 285-5,서울특별시 도봉구 우이천로32길 67
45,서울특별시 성동구 마장동 817,서울특별시 성동구 마장로 271
46,서울특별시 성동구 마장동 817,서울특별시 성동구 마장로 271
47,서울특별시 동대문구 이문동 64,서울특별시 동대문구 한천로58길 47
48,서울특별시 중랑구 면목동 1077-1,서울특별시 중랑구 사가정로71길 19
49,서울특별시 성북구 하월곡동 226,서울특별시 성북구 월곡로14길 26
50,서울특별시 성북구 장위동 312,서울특별시 성북구 화랑로 235
51,서울특별시 성북구 하월곡동 230,서울특별시 성북구 종암로 167
52,서울특별시 중랑구 신내동 785,서울특별시 중랑구 신내로7길 20
53,서울특별시 성북구 길음동 1284,서울특별시 성북구 길음로 33
54,서울특별시 동대문구 용두동 112-8,서울특별시 동대문구 왕산로 72
55,서울특별시 성북구 길음동 1279,서울특별시 성북구 길음로9길 40
56,서울특별시 동대문구 용두동 792,서울특별시 동대문구 정릉천동로 36
57,서울특별시 성북구 돈암동 609-1,서울특별시 성북구 성북로4길 52
58,서울특별시 성동구 성수동1가 710,서울특별시 성동구 왕십리로 36
59,서울특별시 성북구 돈암동 636,서울특별시 성북구 북악산로 844
60,서울특별시 동대문구 답십리동 111,서울특별시 동대문구 답십리로41길 33
61,서울특별시 성북구 상월곡동 101,서울특별시 성북구 장월로1길 28
62,서울특별시 도봉구 쌍문동 19-20,서울특별시 도봉구 도당로2길 16
63,서울특별시 성동구 행당동 346,서울특별시 성동구 행당로 82
64,서울특별시 중구 황학동 819,서울특별시 중구 난계로 169
65,서울특별시 성동구 하왕십리동 258,서울특별시 성동구 무학로 50
66,서울특별시 도봉구 쌍문동 732,서울특별시 도봉구 우이천로 367
67,서울특별시 성동구 마장동 817,서울특별시 성동구 마장로 271
68,서울특별시 용산구 이촌동 426,서울특별시 용산구 이촌로88길 30
69,서울특별시 동대문구 장안동 335-10,서울특별시 동대문구 답십리로 292-3
70,서울특별시 동대문구 장안동 336,서울특별시 동대문구 장안벚꽃로 107
71,서울특별시 성동구 하왕십리동 1061,서울특별시 성동구 난계로 84
72,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
73,서울특별시 강동구 상일동 519,서울특별시 강동구 고덕로 360
74,서울특별시 강동구 상일동 519,서울특별시 강동구 고덕로 360
75,서울특별시 강동구 천호동 217-132,서울특별시 강동구 구천면로 278
76,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 24
77,서울특별시 송파구 문정동 1,서울특별시 송파구 문정로 83
78,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
79,서울특별시 송파구 가락동 140,서울특별시 송파구 동남로 193
80,서울특별시 강동구 암사동 414-2,서울특별시 강동구 고덕로 131
81,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
82,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
83,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
84,서울특별시 송파구 방이동 89,서울특별시 송파구 양재대로 1218
85,서울특별시 마포구 창전동 449,서울특별시 마포구 서강로3길 32
86,서울특별시 마포구 아현동 777,서울특별시 마포구 마포대로 195
87,서울특별시 강서구 내발산동 753,서울특별시 강서구 수명로1길 16
88,서울특별시 은평구 녹번동 283,서울특별시 은평구 통일로 630
89,서울특별시 마포구 공덕동 469,서울특별시 마포구 마포대로 167
90,서울특별시 노원구 상계동 624,서울특별시 노원구 동일로227길 86
91,서울특별시 노원구 상계동 624,서울특별시 노원구 동일로227길 86
92,서울특별시 노원구 상계동 740,서울특별시 노원구 동일로215길 23
93,서울특별시 노원구 공릉동 569-20,서울특별시 노원구 동일로173가길 90
94,서울특별시 노원구 공릉동 743,서울특별시 노원구 공릉로46길 19
95,서울특별시 노원구 상계동 721,서울특별시 노원구 동일로216길 47
96,서울특별시 강서구 염창동 309,서울특별시 강서구 공항대로 583
97,서울특별시 서대문구 북아현동 1009,서울특별시 서대문구 이화여대8길 62
98,서울특별시 서대문구 북아현동 1011,서울특별시 서대문구 북아현로1길 50
99,서울특별시 강서구 등촌동 688,서울특별시 강서구 강서로56나길 37
100,서울특별시 양천구 신정동 733-31,서울특별시 양천구 신정로13길 35
101,서울특별시 양천구 목동 404-13,서울특별시 양천구 오목로 354
102,서울특별시 강서구 마곡동 725-1,서울특별시 강서구 마곡중앙3로 74
103,서울특별시 강서구 가양동 1461,서울특별시 강서구 허준로 47
104,서울특별시 강서구 가양동 448-1,서울특별시 강서구 양천로 507
105,서울특별시 서대문구 홍제동 461,서울특별시 서대문구 통일로 319
106,서울특별시 서대문구 홍제동 331,서울특별시 서대문구 통일로39가길 57
107,서울특별시 서대문구 홍제동 453,서울특별시 서대문구 통일로 348
108,서울특별시 마포구 중동 Dec-40,서울특별시 마포구 성암로7길 3
109,서울특별시 강서구 내발산동 657,서울특별시 강서구 강서로 348
110,서울특별시 서대문구 남가좌동 388,서울특별시 서대문구 증가로 150
111,서울특별시 은평구 진관동 84,서울특별시 은평구 진관2로 57-37
112,서울특별시 강서구 화곡동 1145,서울특별시 강서구 공항대로 382
113,서울특별시 마포구 상암동 1643,서울특별시 마포구 월드컵로 338
114,서울특별시 서대문구 남가좌동 385,서울특별시 서대문구 가재울미래로 2
115,서울특별시 서대문구 연희동 739,서울특별시 서대문구 연희로 38-20
116,서울특별시 서대문구 연희동 747,서울특별시 서대문구 홍제천로 136
117,서울특별시 은평구 불광동 645,서울특별시 은평구 불광로 64
118,서울특별시 노원구 상계동 1282,서울특별시 노원구 노원로 428
119,서울특별시 강서구 가양동 1460,서울특별시 강서구 허준로 23
120,서울특별시 마포구 아현동 777,서울특별시 마포구 마포대로 195
121,서울특별시 노원구 상계동 1276,서울특별시 노원구 덕릉로94가길 20
122,서울특별시 강서구 염창동 240-32,서울특별시 강서구 양천로 595
123,서울특별시 마포구 성산동 446,서울특별시 마포구 월드컵북로 235
124,서울특별시 양천구 신월동 987-1,서울특별시 양천구 신월로 99
125,서울특별시 마포구 공덕동 371,서울특별시 마포구 마포대로 115-8
126,서울특별시 노원구 하계동 288,서울특별시 노원구 노원로18길 19
127,서울특별시 광진구 광장동 453-1,서울특별시 광진구 아차산로 544
128,서울특별시 강북구 미아동 1353,서울특별시 강북구 솔샘로 174
129,서울특별시 강북구 미아동 1369,서울특별시 강북구 오현로 45
130,서울특별시 강북구 미아동 474,서울특별시 강북구 숭인로7가길 37
131,서울특별시 중구 신당동 844,서울특별시 중구 다산로 32
132,서울특별시 동대문구 회기동 346-18,서울특별시 동대문구 이문로 37
133,서울특별시 용산구 도원동 23,서울특별시 용산구 새창로 70
134,서울특별시 성동구 하왕십리동 1066,서울특별시 성동구 무학로 33
135,서울특별시 도봉구 방학동 720-1,서울특별시 도봉구 마들로 616
136,서울특별시 성동구 옥수동 220-1,서울특별시 성동구 독서당로 156
137,서울특별시 도봉구 방학동 720-1,서울특별시 도봉구 마들로 616
138,서울특별시 도봉구 방학동 720-1,서울특별시 도봉구 마들로 616
139,서울특별시 광진구 화양동 111-102,서울특별시 광진구 광나루로 382
140,서울특별시 성북구 하월곡동 225,서울특별시 성북구 오패산로 90
141,서울특별시 중랑구 묵동 388,서울특별시 중랑구 동일로169길 41
142,서울특별시 광진구 화양동 111-102,서울특별시 광진구 광나루로 382
143,서울특별시 중랑구 신내동 656,서울특별시 중랑구 신내로 155
144,서울특별시 성동구 마장동 818,서울특별시 성동구 살곶이길 50
145,서울특별시 용산구 이촌동 418,서울특별시 용산구 이촌로 174
146,서울특별시 강북구 수유동 730,서울특별시 강북구 한천로159길 8
147,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400
148,서울특별시 성동구 금호동4가 1553,서울특별시 성동구 독서당로 344
149,서울특별시 성북구 돈암동 609-1,서울특별시 성북구 성북로4길 52
150,서울특별시 성북구 돈암동 609-1,서울특별시 성북구 성북로4길 52
151,서울특별시 성북구 보문동6가 458,서울특별시 성북구 보문사길 111
152,서울특별시 성북구 정릉동 1018,서울특별시 성북구 서경로 28
153,서울특별시 성동구 응봉동 15,서울특별시 성동구 고산자로 160
154,서울특별시 도봉구 쌍문동 56,서울특별시 도봉구 해등로 195
